"Source","Target","Weight"
"v-1","v-2",0.0297
"v-1","v-3",0.0324
"v-1","v-4",0.0291
"v-1","v-10",0.0299
"v-1","v-11",0.0299
"v-1","v-15",0.0303
"v-1","v-17",0.0317
"v-1","v-23",0.0291
"v-1","v-25",0.0324
"v-1","v-26",0.0293
"v-1","v-27",0.0293
"v-1","v-29",0.0292
"v-1","v-30",0.0292
"v-1","v-34",0.0309
"v-1","v-35",0.0323
"v-1","v-36",0.0326
"v-1","v-37",0.0292
"v-1","v-38",0.0321
"v-1","v-39",0.0293
"v-1","v-41",0.0288
"v-1","v-42",0.0316
"v-1","v-43",0.029
"v-1","v-45",0.0296
"v-1","v-48",0.0294
"v-1","v-49",0.0301
"v-1","v-50",0.0288
"v-1","v-51",0.0292
"v-1","v-53",0.0295
"v-1","v-55",0.034
"v-1","v-58",0.0293
"v-1","v-61",0.0296
"v-1","v-62",0.0305
"v-1","v-63",0.0292
"v-1","v-64",0.032
"v-1","v-67",0.03
"v-1","v-68",0.0288
"v-1","v-69",0.0311
"v-1","v-70",0.0289
"v-2","v-1",0.0297
"v-2","v-3",0.0303
"v-2","v-5",0.0298
"v-2","v-8",0.0288
"v-2","v-11",0.0313
"v-2","v-13",0.0319
"v-2","v-16",0.0308
"v-2","v-18",0.0308
"v-2","v-19",0.0289
"v-2","v-21",0.0313
"v-2","v-25",0.0288
"v-2","v-29",0.0304
"v-2","v-32",0.0295
"v-2","v-33",0.0301
"v-2","v-35",0.0291
"v-2","v-38",0.0305
"v-2","v-39",0.0295
"v-2","v-40",0.0315
"v-2","v-42",0.0302
"v-2","v-43",0.0299
"v-2","v-45",0.0292
"v-2","v-48",0.0318
"v-2","v-49",0.029
"v-2","v-50",0.0306
"v-2","v-51",0.0288
"v-2","v-52",0.0292
"v-2","v-55",0.0299
"v-2","v-57",0.03
"v-2","v-61",0.0294
"v-2","v-62",0.0319
"v-2","v-63",0.0297
"v-2","v-65",0.0303
"v-2","v-66",0.0304
"v-2","v-68",0.031
"v-2","v-69",0.0298
"v-3","v-1",0.0324
"v-3","v-2",0.0303
"v-3","v-5",0.0308
"v-3","v-7",0.0289
"v-3","v-8",0.0293
"v-3","v-11",0.0297
"v-3","v-12",0.0292
"v-3","v-13",0.031
"v-3","v-16",0.0293
"v-3","v-18",0.0295
"v-3","v-22",0.0289
"v-3","v-24",0.0294
"v-3","v-25",0.0319
"v-3","v-27",0.0293
"v-3","v-29",0.0326
"v-3","v-31",0.0303
"v-3","v-34",0.0295
"v-3","v-35",0.0304
"v-3","v-36",0.0292
"v-3","v-37",0.0309
"v-3","v-38",0.0311
"v-3","v-39",0.0288
"v-3","v-40",0.0288
"v-3","v-42",0.0301
"v-3","v-47",0.0311
"v-3","v-48",0.0295
"v-3","v-49",0.0317
"v-3","v-51",0.03
"v-3","v-52",0.0296
"v-3","v-53",0.0288
"v-3","v-54",0.0295
"v-3","v-55",0.0298
"v-3","v-56",0.0291
"v-3","v-60",0.0296
"v-3","v-63",0.0297
"v-3","v-64",0.0338
"v-3","v-68",0.0294
"v-3","v-69",0.0295
"v-3","v-70",0.0305
"v-4","v-1",0.0291
"v-4","v-5",0.0299
"v-4","v-6",0.0297
"v-4","v-7",0.031
"v-4","v-8",0.0294
"v-4","v-9",0.0292
"v-4","v-11",0.0289
"v-4","v-12",0.031
"v-4","v-15",0.0301
"v-4","v-17",0.0302
"v-4","v-19",0.0309
"v-4","v-20",0.0299
"v-4","v-24",0.0291
"v-4","v-27",0.0298
"v-4","v-29",0.0295
"v-4","v-32",0.0306
"v-4","v-38",0.0295
"v-4","v-43",0.0288
"v-4","v-46",0.0328
"v-4","v-48",0.03
"v-4","v-49",0.0325
"v-4","v-50",0.03
"v-4","v-51",0.0305
"v-4","v-55",0.0301
"v-4","v-57",0.0288
"v-4","v-58",0.0294
"v-4","v-64",0.0313
"v-4","v-65",0.0318
"v-4","v-66",0.0293
"v-4","v-69",0.0308
"v-4","v-70",0.0327
"v-5","v-2",0.0298
"v-5","v-3",0.0308
"v-5","v-4",0.0299
"v-5","v-6",0.031
"v-5","v-7",0.029
"v-5","v-8",0.0288
"v-5","v-9",0.0295
"v-5","v-12",0.0288
"v-5","v-13",0.0309
"v-5","v-14",0.0302
"v-5","v-15",0.0289
"v-5","v-16",0.0317
"v-5","v-17",0.0301
"v-5","v-19",0.0297
"v-5","v-20",0.0301
"v-5","v-21",0.032
"v-5","v-22",0.0317
"v-5","v-23",0.0312
"v-5","v-25",0.0307
"v-5","v-26",0.0326
"v-5","v-27",0.0317
"v-5","v-29",0.0322
"v-5","v-32",0.03
"v-5","v-35",0.0292
"v-5","v-36",0.0288
"v-5","v-38",0.0293
"v-5","v-39",0.0289
"v-5","v-41",0.031
"v-5","v-42",0.0316
"v-5","v-44",0.0292
"v-5","v-45",0.0298
"v-5","v-47",0.0304
"v-5","v-48",0.0308
"v-5","v-49",0.0298
"v-5","v-50",0.0298
"v-5","v-52",0.0303
"v-5","v-53",0.0297
"v-5","v-54",0.0301
"v-5","v-56",0.0317
"v-5","v-57",0.0304
"v-5","v-58",0.0291
"v-5","v-62",0.0301
"v-5","v-63",0.0295
"v-5","v-64",0.0293
"v-5","v-67",0.0308
"v-5","v-69",0.0301
"v-6","v-4",0.0297
"v-6","v-5",0.031
"v-6","v-7",0.0313
"v-6","v-8",0.0299
"v-6","v-9",0.0296
"v-6","v-12",0.0289
"v-6","v-15",0.0289
"v-6","v-16",0.0296
"v-6","v-22",0.0302
"v-6","v-25",0.0311
"v-6","v-26",0.0304
"v-6","v-27",0.0304
"v-6","v-29",0.0304
"v-6","v-38",0.0298
"v-6","v-39",0.0296
"v-6","v-42",0.0304
"v-6","v-45",0.0298
"v-6","v-48",0.0307
"v-6","v-53",0.0294
"v-6","v-55",0.0298
"v-6","v-56",0.029
"v-6","v-57",0.0309
"v-6","v-58",0.0292
"v-6","v-59",0.0326
"v-6","v-63",0.0297
"v-6","v-64",0.0321
"v-6","v-65",0.0326
"v-6","v-66",0.029
"v-6","v-67",0.0294
"v-6","v-69",0.029
"v-7","v-3",0.0289
"v-7","v-4",0.031
"v-7","v-5",0.029
"v-7","v-6",0.0313
"v-7","v-8",0.03
"v-7","v-9",0.0289
"v-7","v-11",0.0298
"v-7","v-13",0.0303
"v-7","v-15",0.0315
"v-7","v-16",0.0299
"v-7","v-20",0.0291
"v-7","v-24",0.03
"v-7","v-25",0.03
"v-7","v-29",0.03
"v-7","v-30",0.0291
"v-7","v-31",0.0288
"v-7","v-33",0.0307
"v-7","v-34",0.0293
"v-7","v-38",0.0289
"v-7","v-39",0.0297
"v-7","v-44",0.0301
"v-7","v-49",0.0318
"v-7","v-51",0.0288
"v-7","v-52",0.0289
"v-7","v-55",0.0298
"v-7","v-58",0.0296
"v-7","v-60",0.0294
"v-7","v-61",0.0315
"v-7","v-65",0.032
"v-7","v-67",0.0303
"v-7","v-70",0.0308
"v-8","v-2",0.0288
"v-8","v-3",0.0293
"v-8","v-4",0.0294
"v-8","v-5",0.0288
"v-8","v-6",0.0299
"v-8","v-7",0.03
"v-8","v-9",0.0302
"v-8","v-10",0.0292
"v-8","v-13",0.0318
"v-8","v-14",0.0302
"v-8","v-15",0.0289
"v-8","v-17",0.0297
"v-8","v-18",0.0294
"v-8","v-20",0.0289
"v-8","v-22",0.029
"v-8","v-24",0.0293
"v-8","v-26",0.0302
"v-8","v-29",0.031
"v-8","v-30",0.0293
"v-8","v-31",0.029
"v-8","v-32",0.0292
"v-8","v-34",0.0303
"v-8","v-35",0.0293
"v-8","v-38",0.0321
"v-8","v-43",0.0306
"v-8","v-44",0.0292
"v-8","v-46",0.029
"v-8","v-47",0.031
"v-8","v-49",0.0317
"v-8","v-50",0.0302
"v-8","v-51",0.0294
