"Source","Target","Weight"
"v-1","v-2",0.0317
"v-1","v-5",0.033
"v-1","v-8",0.0297
"v-1","v-10",0.029
"v-1","v-13",0.0292
"v-1","v-15",0.0301
"v-1","v-16",0.0293
"v-1","v-17",0.03
"v-1","v-18",0.0288
"v-1","v-27",0.0312
"v-1","v-32",0.0291
"v-1","v-33",0.029
"v-1","v-34",0.0288
"v-1","v-35",0.0313
"v-1","v-36",0.0323
"v-1","v-37",0.0311
"v-1","v-39",0.03
"v-1","v-44",0.0315
"v-1","v-45",0.0303
"v-1","v-47",0.0297
"v-1","v-48",0.0291
"v-1","v-50",0.032
"v-1","v-51",0.0316
"v-1","v-52",0.0295
"v-1","v-54",0.0301
"v-1","v-55",0.0289
"v-1","v-58",0.0323
"v-1","v-60",0.0289
"v-1","v-63",0.0305
"v-1","v-68",0.029
"v-1","v-70",0.0288
"v-2","v-1",0.0317
"v-2","v-3",0.0305
"v-2","v-8",0.0311
"v-2","v-9",0.0329
"v-2","v-10",0.03
"v-2","v-12",0.0299
"v-2","v-13",0.0288
"v-2","v-16",0.0293
"v-2","v-18",0.0291
"v-2","v-19",0.0326
"v-2","v-20",0.0296
"v-2","v-21",0.0291
"v-2","v-22",0.0305
"v-2","v-27",0.0289
"v-2","v-35",0.0299
"v-2","v-38",0.0291
"v-2","v-39",0.0323
"v-2","v-40",0.0289
"v-2","v-41",0.0298
"v-2","v-42",0.0331
"v-2","v-43",0.0324
"v-2","v-49",0.0318
"v-2","v-51",0.0301
"v-2","v-52",0.029
"v-2","v-57",0.0291
"v-2","v-59",0.0302
"v-2","v-60",0.0312
"v-2","v-64",0.0288
"v-2","v-65",0.0314
"v-2","v-66",0.0288
"v-2","v-67",0.0296
"v-2","v-68",0.0306
"v-2","v-70",0.0301
"v-3","v-2",0.0305
"v-3","v-4",0.0292
"v-3","v-5",0.0302
"v-3","v-6",0.0319
"v-3","v-8",0.0298
"v-3","v-11",0.0311
"v-3","v-12",0.0312
"v-3","v-16",0.0316
"v-3","v-21",0.0313
"v-3","v-22",0.0294
"v-3","v-23",0.0298
"v-3","v-24",0.0332
"v-3","v-25",0.0346
"v-3","v-26",0.0292
