"Id","Thresh1","Thresh2","ThreshRatio","ThreshRatioBounded"
"v-1",9.40864962704807,11.5145065336242,-0.201978238865107,-0.201978238865107
"v-2",10.7094477555593,10.4007209709474,0.0292511918162981,0.0292511918162981
"v-3",9.14742273106412,11.3946864215488,-0.219674972492413,-0.219674972492413
"v-4",9.68245342326433,9.76927161741157,-0.00892658830684931,-0.00892658830684931
"v-5",10.4260862015339,8.19911014417011,0.240285324872963,0.240285324872963
"v-6",9.98855063468088,9.85775980120246,0.01318055841043,0.01318055841043
"v-7",10.0607916469996,10.0679407372568,-0.000710336887717732,-0.000710336887717732
"v-8",10.2631190504594,9.12805330037227,0.117204342803438,0.117204342803438
"v-9",9.34992740683555,9.10141615206135,0.0269385567749085,0.0269385567749085
"v-10",10.4315864345189,11.5214788379135,-0.0993746579073733,-0.0993746579073733
"v-11",9.99541100014193,9.86808224167336,0.0128205548705422,0.0128205548705422
"v-12",9.65750527207205,8.8505165222698,0.0872595400475789,0.0872595400475789
"v-13",10.0081064654004,9.66756508319072,0.0346189344974758,0.0346189344974758
"v-14",10.1439513835183,9.30384440640811,0.0864499132735562,0.0864499132735562
"v-15",9.25653428090262,9.38017234394676,-0.0132684255230877,-0.0132684255230877
"v-16",8.50064713380378,9.57166027061741,-0.118664383433645,-0.118664383433645
"v-17",9.06976738459592,9.49835989956242,-0.0461725244344525,-0.0461725244344525
"v-18",10.2866665003456,10.5703921458819,-0.0272083569898837,-0.0272083569898837
"v-19",9.16976278724566,9.63230416076298,-0.0492110486347534,-0.0492110486347534
"v-20",11.7335434840516,8.93048595060835,0.272980893179018,0.272980893179018
"v-21",8.98091310328569,9.65683490273207,-0.072564385689577,-0.072564385689577
"v-22",11.1324541731899,10.4372248120292,0.0644859172017494,0.0644859172017494
"v-23",9.57151284166147,10.7555280878952,-0.116628588482073,-0.116628588482073
"v-24",12.0203349810172,9.45944376792825,0.239586214336928,0.239586214336928
"v-25",10.2291267384521,11.048159224975,-0.0770246146019001,-0.0770246146019001
"v-26",11.8163753243586,9.49044718863654,0.219200575201823,0.219200575201823
"v-27",8.84574871510899,7.40927872467956,0.177203875960107,0.177203875960107
"v-28",8.55979081227623,8.13682608506119,0.0506755638994929,0.0506755638994929
"v-29",8.83104021550363,10.3973968643492,-0.163282660934059,-0.163282660934059
"v-30",11.2547345748746,12.9293021036479,-0.138707325140435,-0.138707325140435
"v-31",10.8852377424935,8.94869952009587,0.195899319031009,0.195899319031009
"v-32",9.90359180588198,10.454704395933,-0.0541545585222154,-0.0541545585222154
"v-33",9.66859338346208,11.1865971255277,-0.145833539492572,-0.145833539492572
"v-34",10.0463157917621,9.20264445994353,0.0877150953610858,0.0877150953610858
"v-35",11.4095577520534,11.1103848928875,0.0265711565672927,0.0265711565672927
"v-36",10.7066590389894,9.65404198883197,0.103489201386748,0.103489201386748
"v-37",9.1724227486308,9.45115029675705,-0.0299350034731444,-0.0299350034731444
"v-38",7.67236784407154,8.91890755037995,-0.150548184421819,-0.150548184421819
"v-39",10.5804565348004,10.0724577579574,0.0492038319611159,0.0492038319611159
"v-40",10.5699953414279,11.0177817639927,-0.0414911324824054,-0.0414911324824054
"v-41",9.56294128765058,10.9924212926012,-0.139310716131194,-0.139310716131194
"v-42",9.42134103094414,10.097820235285,-0.0693421438375916,-0.0693421438375916
"v-43",10.2443620407694,10.5233316663188,-0.0268673460392221,-0.0268673460392221
"v-44",8.71686655139677,8.22980913055705,0.0574970103993242,0.0574970103993242
"v-45",8.39528327941894,10.6640507793762,-0.239208310835874,-0.239208310835874
"v-46",8.57687527507006,9.11303138999003,-0.0606357499238673,-0.0606357499238673
"v-47",11.1234066303368,10.090344768042,0.0974725904929091,0.0974725904929091
"v-48",9.19410238288575,9.49470325427215,-0.0321718577755264,-0.0321718577755264
"v-49",10.8974653360157,11.5557883274941,-0.0586562411139839,-0.0586562411139839
"v-50",10.2842046516237,8.89327256882668,0.14531408944268,0.14531408944268
"v-51",10.207928683195,10.3734914497743,-0.0160889128995123,-0.0160889128995123
"v-52",9.39488882581,10.2460229717298,-0.0867238280742011,-0.0867238280742011
"v-53",9.11169456162027,10.1496581190217,-0.107881316936766,-0.107881316936766
"v-54",11.0538289670326,10.2711986550685,0.0734331494429567,0.0734331494429567
"v-55",10.2785199803308,10.284486603786,-0.00058032599447132,-0.00058032599447132
"v-56",10.2035811316246,8.43485546963388,0.190366168758493,0.190366168758493
"v-57",12.0295968333603,11.094522599025,0.0809184890088586,0.0809184890088586
"v-58",10.6180059185854,11.3684268472997,-0.068288706661881,-0.068288706661881
"v-59",10.3161509948807,10.8174073171249,-0.047445900343508,-0.047445900343508
"v-60",10.7815587207037,10.942383009622,-0.0148064498646285,-0.0148064498646285
"v-61",10.3918389213806,10.8718135920302,-0.0451527520131579,-0.0451527520131579
"v-62",10.1807928468804,9.39616583191482,0.0802011750430646,0.0802011750430646
"v-63",9.85873065767397,9.59201028745404,0.0274269335548746,0.0274269335548746
"v-64",8.62814692381546,8.80983645438313,-0.0208391190374714,-0.0208391190374714
"v-65",9.77602595296515,10.8221902498152,-0.10166562178979,-0.10166562178979
"v-66",9.23292427356186,9.87723539716761,-0.0674568334614701,-0.0674568334614701
"v-67",11.1742922732592,8.46454533633426,0.277729504105536,0.277729504105536
"v-68",9.40183245059838,9.02144617782704,0.0412999604712771,0.0412999604712771
"v-69",11.3414909875723,10.1721401106981,0.108815148423015,0.108815148423015
"v-70",8.95796073388941,9.43137353415151,-0.0514991374154255,-0.0514991374154255
