"Source","Target","Weight"
"v-1","v-3",0.0308
"v-1","v-4",0.0309
"v-1","v-6",0.0291
"v-1","v-7",0.0291
"v-1","v-9",0.0307
"v-1","v-12",0.0308
"v-1","v-13",0.029
"v-1","v-15",0.0301
"v-1","v-17",0.0311
"v-1","v-19",0.0306
"v-1","v-20",0.0289
"v-1","v-22",0.0316
"v-1","v-25",0.0296
"v-1","v-28",0.0298
"v-1","v-30",0.031
"v-1","v-31",0.0296
"v-1","v-32",0.0301
"v-1","v-34",0.0308
"v-1","v-35",0.0305
"v-1","v-36",0.0299
"v-1","v-37",0.0301
"v-1","v-39",0.0324
"v-1","v-41",0.0302
"v-1","v-42",0.0298
"v-1","v-43",0.0341
"v-1","v-46",0.0303
"v-1","v-48",0.0295
"v-1","v-53",0.0296
"v-1","v-55",0.0296
"v-1","v-57",0.0317
"v-1","v-58",0.0302
"v-1","v-62",0.029
"v-1","v-63",0.0298
"v-1","v-65",0.0302
"v-1","v-66",0.0305
"v-1","v-67",0.0293
"v-2","v-3",0.0305
"v-2","v-5",0.0289
"v-2","v-6",0.0296
"v-2","v-8",0.0315
"v-2","v-10",0.0316
"v-2","v-12",0.0289
"v-2","v-14",0.0293
"v-2","v-21",0.0319
"v-2","v-23",0.0302
"v-2","v-24",0.0334
"v-2","v-25",0.0305
"v-2","v-29",0.0297
"v-2","v-32",0.0308
"v-2","v-33",0.0292
"v-2","v-36",0.0291
"v-2","v-38",0.0309
"v-2","v-41",0.0314
"v-2","v-43",0.0297
"v-2","v-44",0.0295
"v-2","v-45",0.0309
"v-2","v-48",0.0339
"v-2","v-49",0.03
"v-2","v-50",0.0302
"v-2","v-52",0.0304
"v-2","v-54",0.0322
"v-2","v-56",0.0299
"v-2","v-57",0.029
"v-2","v-58",0.0305
"v-2","v-61",0.0292
"v-2","v-62",0.0289
"v-2","v-64",0.0295
"v-2","v-67",0.0299
"v-2","v-68",0.0306
"v-2","v-69",0.03
"v-3","v-1",0.0308
"v-3","v-2",0.0305
"v-3","v-4",0.0295
