"Id","Thresh1","Thresh2","ThreshRatio","ThreshRatioRank","ThreshRatioBounded"
"v-1",12.14,7.86000000000005,0.188796140699826,52,0.188796140699826
"v-10",10.92,9.08000000000002,0.0801367898476316,45,0.0801367898476316
"v-11",6.47000000000006,13.5299999999999,-0.320393515928916,3,-0.320393515928916
"v-12",8.73000000000003,11.27,-0.110909672340534,27,-0.110909672340534
"v-13",6.96000000000006,13.0399999999999,-0.272668351785333,8,-0.272668351785333
"v-14",7.48000000000006,12.5199999999999,-0.223702731009944,16,-0.223702731009944
"v-15",12.4599999999999,7.54000000000005,0.218146696453372,56,0.218146696453372
"v-16",7.45000000000007,12.5499999999999,-0.226487453068758,14,-0.226487453068758
"v-17",11.75,8.25000000000004,0.153583918057826,48,0.153583918057826
"v-18",11.23,8.77000000000003,0.107380162895415,46,0.107380162895415
"v-19",14.0899999999999,5.91000000000009,0.377323512228092,70,0.377323512228092
"v-2",10.16,9.84,0.0138986095165586,38,0.0138986095165586
"v-20",12.5499999999999,7.45000000000006,0.226487453068759,58,0.226487453068759
"v-21",12.4199999999999,7.58000000000005,0.214452390208503,55,0.214452390208503
"v-22",7.60000000000005,12.4,-0.212608092881439,18,-0.212608092881439
"v-23",13.9899999999999,6.01000000000008,0.36694324248908,67,0.36694324248908
"v-24",9.95,10.05,-0.00434298101078245,36,-0.00434298101078245
"v-25",10.21,9.79000000000001,0.0182430502837719,39,0.0182430502837719
"v-26",7.02000000000005,12.9799999999999,-0.26693758033454,10,-0.26693758033454
"v-27",12.5599999999999,7.44000000000006,0.227416703855293,59,0.227416703855293
"v-28",12.7499999999999,7.25000000000005,0.245172178198975,61,0.245172178198975
"v-29",6.96000000000006,13.0399999999999,-0.272668351785334,7,-0.272668351785334
"v-3",12.17,7.83000000000005,0.191528816172117,53,0.191528816172117
"v-30",12.17,7.83000000000005,0.191528816172117,54,0.191528816172117
"v-31",7.95000000000004,12.05,-0.180619918254413,21,-0.180619918254413
"v-32",9.43000000000001,10.57,-0.049563294570097,32,-0.049563294570097
"v-33",8.22000000000004,11.78,-0.156273472911029,24,-0.156273472911029
"v-34",13.9199999999999,6.08000000000007,0.3597356560018,66,0.3597356560018
"v-35",10.03,9.97,0.0026057747087623,37,0.0026057747087623
"v-36",10.77,9.23000000000002,0.0670140022720681,44,0.0670140022720681
"v-37",7.84000000000005,12.16,-0.190617512252273,19,-0.190617512252273
"v-38",13.1599999999999,6.84000000000005,0.284199787557815,62,0.284199787557815
"v-39",5.50000000000009,14.4999999999999,-0.421005312740721,1,-0.421005312740721
"v-4",9.36000000000001,10.64,-0.0556657792209231,31,-0.0556657792209231
"v-40",7.40000000000006,12.5999999999999,-0.231138825386582,13,-0.231138825386582
"v-41",13.6399999999999,6.36000000000007,0.331357254672039,65,0.331357254672039
"v-42",8.00000000000005,12,-0.176091259055677,23,-0.176091259055677
"v-43",13.5299999999999,6.47000000000006,0.320393515928916,63,0.320393515928916
"v-44",9.24000000000002,10.76,-0.0661403001102623,29,-0.0661403001102623
"v-45",9.83,10.17,-0.0147674350906088,35,-0.0147674350906088
"v-46",10.72,9.28000000000002,0.0626468091378878,43,0.0626468091378878
"v-47",13.5699999999999,6.43000000000006,0.324368874735509,64,0.324368874735509
"v-48",7.28000000000006,12.7199999999999,-0.242355731999353,12,-0.242355731999353
"v-49",7.50000000000006,12.4999999999999,-0.221848749616351,17,-0.221848749616351
"v-5",9.60000000000001,10.4,-0.034762106259211,34,-0.034762106259211
"v-50",6.60000000000008,13.3999999999999,-0.307560862822932,6,-0.307560862822932
"v-51",12.05,7.95000000000004,0.180619918254413,51,0.180619918254413
"v-52",14.0399999999999,5.96000000000008,0.372120848053541,68,0.372120848053541
"v-53",8.40000000000003,11.6,-0.140178703165034,25,-0.140178703165034
"v-54",12.02,7.98000000000004,0.177901576315988,50,0.177901576315988
"v-55",10.21,9.79000000000001,0.0182430502837719,40,0.0182430502837719
"v-56",9.27000000000002,10.73,-0.0635199878214526,30,-0.0635199878214526
"v-57",7.23000000000006,12.7699999999999,-0.247052599968879,11,-0.247052599968879
"v-58",12.5199999999999,7.48000000000005,0.223702731009945,57,0.223702731009945
"v-59",6.43000000000007,13.5699999999999,-0.324368874735508,2,-0.324368874735508
"v-6",11.7,8.30000000000004,0.149107769370084,47,0.149107769370084
"v-60",7.48000000000005,12.5199999999999,-0.223702731009945,15,-0.223702731009945
"v-61",8.63000000000002,11.37,-0.119749668972523,26,-0.119749668972523
"v-62",6.97000000000006,13.0299999999999,-0.271711637614569,9,-0.271711637614569
"v-63",7.97000000000004,12.03,-0.178807305943728,22,-0.178807305943728
"v-64",9.57000000000001,10.43,-0.0373723706496865,33,-0.0373723706496865
"v-65",8.82000000000003,11.18,-0.102973218418582,28,-0.102973218418582
"v-66",6.50000000000006,13.4999999999999,-0.317420411852144,4,-0.317420411852144
"v-67",11.87,8.13000000000004,0.16436017336052,49,0.16436017336052
"v-68",10.33,9.67000000000001,0.0286738474366181,42,0.0286738474366181
"v-69",12.7499999999999,7.25000000000006,0.245172178198975,60,0.245172178198975
"v-7",10.22,9.78,0.019112041011092,41,0.019112041011092
"v-70",6.53000000000006,13.4699999999999,-0.314454414447905,5,-0.314454414447905
"v-8",7.91000000000005,12.09,-0.184249817363091,20,-0.184249817363091
"v-9",14.0399999999999,5.96000000000008,0.372120848053542,69,0.372120848053542
