"Id","Thresh1","Thresh2","ThreshRatio"
"v-1",10.5601947707174,9.5633361263524,0.0991550889246495
"v-2",9.76026092974263,10.2981282774944,-0.0536430234183719
"v-3",10.6539867800439,9.19091035155689,0.147719177259131
"v-4",10.3348498140871,9.90512089828457,0.0424697753919546
"v-5",10.5649991820793,9.45992622837343,0.110481988885877
"v-6",10.2112433430529,9.91468525880126,0.029472384226375
"v-7",10.0009032034168,9.91182702994959,0.00894671565256587
"v-8",10.6782283922154,9.57470261724737,0.109082462560119
"v-9",9.48827743439989,10.5880935638696,-0.109673038725518
"v-10",10.8341550720718,9.28869722583539,0.153905341638282
"v-11",10.977254954462,8.99397439490656,0.199270559241634
"v-12",9.58768180796617,10.2929062851672,-0.0709758182530229
"v-13",10.2872190249584,9.65418218498621,0.063511044842925
"v-14",9.6361570176952,10.4612135426859,-0.0821520898485749
"v-15",10.7447274700693,9.26842262685549,0.147801960170593
"v-16",9.52468838383797,10.4177210894288,-0.0896211021065708
"v-17",9.64824537562242,10.2774965198117,-0.063180628709664
"v-18",9.4916413567683,10.4875681286881,-0.0997790138295745
"v-19",9.98455443306881,10.1127776434304,-0.0127603952331764
"v-20",10.9953137718463,9.08733784961842,0.190587161817249
"v-21",10.4943207206765,9.5099048883479,0.0985003518059618
"v-22",9.48184092527307,10.3465921545925,-0.0872787172233556
"v-23",10.6166522372522,9.27815564403464,0.134760952429852
"v-24",10.8443865604157,9.43269485532381,0.139465747892751
"v-25",9.24931780835363,10.6879527484269,-0.144567397435146
"v-26",10.0647695070864,9.85833584398654,0.0207237825215229
"v-27",8.98874107787771,10.820906257301,-0.185507224670819
"v-28",9.44241448196536,10.4336591522743,-0.0998253181947598
"v-29",10.6661294288113,8.93224738089455,0.177405217194969
"v-30",10.18406779392,9.7511165715184,0.0434427195293445
"v-31",10.1630004000698,9.88695653561297,0.027537346730421
"v-32",10.1245607425503,9.91738655882756,0.0206747937435089
"v-33",8.84210457046959,11.04277300207,-0.222251265135773
"v-34",10.6200873806437,9.47265393716896,0.11433812897916
"v-35",9.94753842750206,10.0735097594506,-0.0125840558549527
"v-36",10.8747950148466,9.09646103372972,0.178562287097323
"v-37",10.1026043678193,9.73145505114726,0.0374298210204212
"v-38",9.36111465391425,10.4695052845178,-0.111902402647844
"v-39",10.2047644672618,9.65691323889521,0.055180659190882
"v-40",9.59134201195523,10.3267856206279,-0.073880247573315
"v-41",10.5980173752927,9.38160758752803,0.121915810625777
"v-42",9.58116930212813,10.4086117370922,-0.0828338740211366
"v-43",9.85396532571205,10.3739644308508,-0.0514253019288684
"v-44",9.82441933604357,10.3612946385135,-0.0532061387796607
"v-45",10.2677854307202,9.59846426160312,0.06740825297215
"v-46",10.2650321226042,10.0545521146455,0.0207177011125124
"v-47",9.36609580180792,10.5790529764378,-0.121779572302081
"v-48",9.1676697113157,10.7392445455809,-0.158221613273465
"v-49",8.86206986606654,11.1387763805173,-0.228652031770118
"v-50",9.43463479604675,10.6662733830099,-0.122699272398943
"v-51",10.8280539966273,9.53981844768059,0.126665903861036
"v-52",10.9682587380282,9.24974405199727,0.170409651159761
"v-53",9.33121318463257,10.6482652566928,-0.132031955279183
"v-54",9.48154856401828,10.4463409712128,-0.0969041172383606
"v-55",10.3707921740551,9.85382450693823,0.0511337556235962
"v-56",8.99974215807145,10.895911115453,-0.191191664012039
"v-57",10.7889670159327,9.32583847979665,0.145735160478397
"v-58",10.3148312154236,9.84727598634151,0.0463879160398028
"v-59",9.98962924119002,10.2263916385556,-0.0234243152603477
"v-60",9.89810795121513,10.0862850858615,-0.0188329659212262
"v-61",9.95467823506901,10.0956587374929,-0.014062888421738
"v-62",10.9039245366629,9.06537280200916,0.184660804878387
"v-63",9.83269762777612,10.1585975773677,-0.0326070743340254
"v-64",10.4335369643493,9.2957934755174,0.115463342663634
"v-65",10.4475848157692,9.56390688549913,0.0883745199789571
"v-66",10.0841315964496,9.98882782169058,0.009495808655234
"v-67",9.46720800827248,10.5152234517486,-0.104990020852996
"v-68",9.64442996791685,10.4616971334791,-0.0813401520237783
"v-69",9.12666287066651,10.639628365113,-0.153385439944558
"v-70",10.0048988747319,10.2294800936767,-0.0221988964280396
