"Source","Target","Weight"
"v-1","v-4",0.1073
"v-1","v-5",0.1043
"v-1","v-8",0.1045
"v-1","v-9",0.1055
"v-1","v-10",0.104
"v-1","v-11",0.1098
"v-1","v-12",0.104
"v-1","v-13",0.1027
"v-1","v-15",0.1029
"v-1","v-17",0.1031
"v-1","v-19",0.1033
"v-2","v-5",0.104
"v-2","v-7",0.104
"v-2","v-8",0.1063
"v-2","v-10",0.1038
"v-2","v-11",0.1039
"v-2","v-12",0.1053
"v-2","v-14",0.1078
"v-2","v-16",0.1083
"v-3","v-5",0.1047
"v-3","v-9",0.1027
"v-3","v-14",0.1029
"v-3","v-18",0.1063
"v-3","v-20",0.1041
"v-4","v-1",0.1073
"v-4","v-8",0.1043
"v-4","v-9",0.1058
"v-4","v-11",0.1061
"v-4","v-12",0.1027
"v-4","v-15",0.1056
"v-4","v-18",0.1063
"v-4","v-19",0.1064
"v-5","v-1",0.1043
"v-5","v-2",0.104
"v-5","v-3",0.1047
"v-5","v-6",0.1047
"v-5","v-9",0.1052
"v-5","v-11",0.103
"v-5","v-16",0.1069
"v-5","v-19",0.1055
"v-5","v-20",0.1051
"v-6","v-5",0.1047
"v-6","v-10",0.1027
"v-6","v-11",0.1032
"v-6","v-12",0.1035
"v-6","v-13",0.1031
"v-6","v-14",0.1088
"v-6","v-15",0.1081
"v-6","v-17",0.1063
"v-6","v-18",0.1049
"v-6","v-19",0.1041
"v-6","v-20",0.106
"v-7","v-2",0.104
"v-7","v-8",0.1033
"v-7","v-9",0.1064
"v-7","v-10",0.1043
"v-7","v-13",0.1065
"v-7","v-14",0.1062
"v-7","v-15",0.1054
"v-7","v-16",0.1037
"v-7","v-17",0.1035
"v-7","v-19",0.1078
"v-7","v-20",0.1063
"v-8","v-1",0.1045
"v-8","v-2",0.1063
"v-8","v-4",0.1043
"v-8","v-7",0.1033
"v-8","v-9",0.1033
"v-8","v-11",0.1031
"v-8","v-13",0.104
"v-8","v-14",0.1063
"v-8","v-17",0.1042
"v-8","v-18",0.1045
"v-8","v-19",0.1035
"v-9","v-1",0.1055
"v-9","v-3",0.1027
"v-9","v-4",0.1058
"v-9","v-5",0.1052
"v-9","v-7",0.1064
"v-9","v-8",0.1033
"v-9","v-10",0.1033
"v-9","v-11",0.1072
"v-9","v-12",0.1038
"v-9","v-14",0.1091
"v-9","v-18",0.1031
"v-9","v-19",0.1087
"v-9","v-20",0.1041
"v-10","v-1",0.104
"v-10","v-2",0.1038
"v-10","v-6",0.1027
"v-10","v-7",0.1043
"v-10","v-9",0.1033
"v-10","v-11",0.1037
"v-10","v-12",0.104
"v-10","v-13",0.1067
"v-10","v-14",0.1031
"v-10","v-17",0.104
"v-10","v-20",0.1031
"v-11","v-1",0.1098
"v-11","v-2",0.1039
"v-11","v-4",0.1061
"v-11","v-5",0.103
"v-11","v-6",0.1032
"v-11","v-8",0.1031
"v-11","v-9",0.1072
"v-11","v-10",0.1037
"v-11","v-12",0.1054
"v-11","v-15",0.1085
"v-11","v-20",0.1055
"v-12","v-1",0.104
"v-12","v-2",0.1053
"v-12","v-4",0.1027
"v-12","v-6",0.1035
"v-12","v-9",0.1038
"v-12","v-10",0.104
"v-12","v-11",0.1054
"v-12","v-14",0.1028
"v-12","v-15",0.1041
"v-12","v-18",0.1037
"v-12","v-19",0.1036
"v-13","v-1",0.1027
"v-13","v-6",0.1031
"v-13","v-7",0.1065
"v-13","v-8",0.104
"v-13","v-10",0.1067
"v-13","v-16",0.1055
"v-13","v-17",0.1034
"v-13","v-20",0.1042
"v-14","v-2",0.1078
"v-14","v-3",0.1029
"v-14","v-6",0.1088
"v-14","v-7",0.1062
"v-14","v-8",0.1063
"v-14","v-9",0.1091
"v-14","v-10",0.1031
"v-14","v-12",0.1028
"v-14","v-17",0.1051
"v-14","v-18",0.1045
"v-14","v-20",0.1031
"v-15","v-1",0.1029
"v-15","v-4",0.1056
"v-15","v-6",0.1081
"v-15","v-7",0.1054
"v-15","v-11",0.1085
"v-15","v-12",0.1041
"v-15","v-16",0.1069
"v-16","v-2",0.1083
"v-16","v-5",0.1069
"v-16","v-7",0.1037
"v-16","v-13",0.1055
"v-16","v-15",0.1069
"v-16","v-17",0.106
"v-16","v-18",0.103
"v-16","v-20",0.1036
"v-17","v-1",0.1031
"v-17","v-6",0.1063
"v-17","v-7",0.1035
"v-17","v-8",0.1042
"v-17","v-10",0.104
"v-17","v-13",0.1034
"v-17","v-14",0.1051
"v-17","v-16",0.106
"v-17","v-19",0.1052
"v-17","v-20",0.1054
"v-18","v-3",0.1063
"v-18","v-4",0.1063
"v-18","v-6",0.1049
"v-18","v-8",0.1045
"v-18","v-9",0.1031
"v-18","v-12",0.1037
"v-18","v-14",0.1045
"v-18","v-16",0.103
"v-19","v-1",0.1033
"v-19","v-4",0.1064
"v-19","v-5",0.1055
"v-19","v-6",0.1041
"v-19","v-7",0.1078
"v-19","v-8",0.1035
"v-19","v-9",0.1087
"v-19","v-12",0.1036
"v-19","v-17",0.1052
"v-19","v-20",0.1028
"v-20","v-3",0.1041
"v-20","v-5",0.1051
"v-20","v-6",0.106
"v-20","v-7",0.1063
"v-20","v-9",0.1041
"v-20","v-10",0.1031
"v-20","v-11",0.1055
"v-20","v-13",0.1042
"v-20","v-14",0.1031
"v-20","v-16",0.1036
"v-20","v-17",0.1054
"v-20","v-19",0.1028
