"Id","Thresh1","Thresh2","ThreshRatio","ThreshRatioRank","ThreshRatioBounded"
"v-1",9.72888772647859,10.4996399773506,-0.0331112162143673,41,-0.0331112162143673
"v-10",7.71413077847432,12.3951168244225,-0.205963627131581,33,-0.205963627131581
"v-100",6.79359322792581,13.3155637728942,-0.292260019361908,22,-0.292260019361908
"v-11",14.7337722148768,5.17556187807024,0.454356446050607,96,0.454356446050607
"v-12",14.4705883937687,5.47837973944235,0.421834057957918,94,0.421834057957918
"v-13",12.181418938085,7.68811220716764,0.199878166331391,69,0.199878166331391
"v-14",10.5827056270398,9.56367881720225,0.0439717332629098,56,0.0439717332629098
"v-15",11.7756646347524,8.08809950091994,0.163138943305568,66,0.163138943305568
"v-16",15.0686350561477,5.0646053368974,0.473528306629753,98,0.473528306629753
"v-17",11.8298647922755,8.29698473820715,0.154059489716383,65,0.154059489716383
"v-18",7.54211536275483,12.3588953177356,-0.214486482687772,31,-0.214486482687772
"v-19",5.78399057795554,14.252622903302,-0.391667217875999,7,-0.391667217875999
"v-2",8.05192288041443,11.8049473772333,-0.16616444881257,37,-0.16616444881257
"v-20",14.5505437930294,5.59362992182823,0.415185494597978,93,0.415185494597978
"v-21",14.8348124984637,5.20797856170941,0.454612873692474,97,0.454612873692474
"v-22",13.608219170714,6.39114469171672,0.328222645474834,85,0.328222645474834
"v-23",11.3045693334346,9.06416549446286,0.095926195497532,61,0.095926195497532
"v-24",13.6579108163109,6.02689867982121,0.35529038206547,89,0.35529038206547
"v-25",6.68500538622215,13.4684165494787,-0.304214778211845,19,-0.304214778211845
"v-26",10.1498220881193,9.49829147929001,0.0288129368702223,50,0.0288129368702223
"v-27",11.5901890545192,8.44289490375963,0.137599136802677,64,0.137599136802677
"v-28",7.47672008148192,12.3990170730206,-0.219676136470737,29,-0.219676136470737
"v-29",7.09078146668005,12.8923567541524,-0.259638213793139,26,-0.259638213793139
"v-3",7.25614873412329,12.9795318782741,-0.252552853250352,27,-0.252552853250352
"v-30",10.2191971482587,9.53170085500638,0.0302463737260218,51,0.0302463737260218
"v-31",4.92011991009057,15.2327796869104,-0.490803473638884,3,-0.490803473638884
"v-32",6.09315095720551,13.8596964223296,-0.356911779893967,12,-0.356911779893967
"v-33",6.61513462281507,13.049523478502,-0.2950559662739,21,-0.2950559662739
"v-34",15.1912497581546,5.02941363292777,0.480076149324717,100,0.480076149324717
"v-35",6.59860923025912,13.5641096413292,-0.312938881409092,18,-0.312938881409092
"v-36",7.66733593248072,12.3880076013895,-0.208356971556723,32,-0.208356971556723
"v-37",11.2708896083427,8.53651594854195,0.120677540102439,63,0.120677540102439
"v-38",11.1991549817981,8.68646569742555,0.110342145783158,62,0.110342145783158
"v-39",14.2160789153554,5.85644276499646,0.385145922347143,92,0.385145922347143
"v-4",14.5858407856911,5.43660897058005,0.428603371246122,95,0.428603371246122
"v-40",12.2411443829382,7.87869861661457,0.191367532664648,68,0.191367532664648
"v-41",4.934896730267,15.0120786929204,-0.483162763436212,4,-0.483162763436212
"v-42",7.05801757639632,12.9210122225365,-0.262613801762657,25,-0.262613801762657
"v-43",13.401986693234,6.4441789076905,0.318001593297079,83,0.318001593297079
"v-44",13.008233089708,7.07701220825373,0.264368365492688,74,0.264368365492688
"v-45",12.4893243723194,7.43252000956023,0.225402858164464,70,0.225402858164464
"v-46",9.25927497063602,10.6561455114627,-0.0610231607952892,40,-0.0610231607952892
"v-47",13.8784409246254,6.39996441836264,0.33616312165415,87,0.33616312165415
"v-48",10.3425452764073,9.60816747894675,0.0319868661744244,52,0.0319868661744244
"v-49",12.930480230203,6.9870287147425,0.267322126526498,75,0.267322126526498
"v-5",13.0029858348196,6.83828042840795,0.279096182796145,77,0.279096182796145
"v-50",5.45510326681554,14.5673555657678,-0.426577744453575,6,-0.426577744453575
"v-51",13.2472375113381,6.54073941414541,0.306498475903043,82,0.306498475903043
"v-52",10.530196593665,9.48331583593942,0.0454762646207097,57,0.0454762646207097
"v-53",13.8084975208679,6.0409938796416,0.359038030575709,90,0.359038030575709
"v-54",7.55461090745989,12.4606480753874,-0.217328529108725,30,-0.217328529108725
"v-55",10.4008209859666,9.47042908927811,0.0406979649637128,55,0.0406979649637128
"v-56",10.1228221463168,10.0558536325973,0.00288266317066157,48,0.00288266317066157
"v-57",12.8320176284243,7.19993067722931,0.250966632614186,73,0.250966632614186
"v-58",12.6730193270678,7.30386273591325,0.239327494440937,71,0.239327494440937
"v-59",9.98009071333523,10.0991405404564,-0.00514992712476935,44,-0.00514992712476935
"v-6",7.75791136478724,12.2087648543974,-0.196926915715285,34,-0.196926915715285
"v-60",10.9420719366114,9.07485460119255,0.0812598902123783,59,0.0812598902123783
"v-61",6.66765805161819,13.2846611282856,-0.299377161594004,20,-0.299377161594004
"v-62",13.70099675049,6.29247289636188,0.337930809740638,88,0.337930809740638
"v-63",10.2433545196709,9.41541400758399,0.0366027825426503,53,0.0366027825426503
"v-64",13.3782927379163,6.88852863041565,0.288274226980253,80,0.288274226980253
"v-65",13.0513241606138,6.79972269920133,0.283163374517584,78,0.283163374517584
"v-66",10.021803352462,10.0945786297811,-0.00314231846183853,46,-0.00314231846183853
"v-67",12.0142227233413,8.08978286761547,0.171758813605547,67,0.171758813605547
"v-68",11.0202742744473,9.01895745170247,0.0870360653640416,60,0.0870360653640416
"v-69",8.07633486659677,12.0144424574458,-0.172489304061717,36,-0.172489304061717
"v-7",13.600122712387,6.36504749405277,0.32974117840307,86,0.32974117840307
"v-70",7.84436767191647,11.8879701205619,-0.180549763644597,35,-0.180549763644597
"v-71",9.14264938866956,10.7615757468852,-0.0708038015418301,39,-0.0708038015418301
"v-72",9.91046719480387,10.1174238791236,-0.0089758172729855,43,-0.0089758172729855
"v-73",12.7708885133844,7.17549881109103,0.250369016815626,72,0.250369016815626
"v-74",5.18081759153138,14.4051647882703,-0.444119929040097,5,-0.444119929040097
"v-75",6.13532246038288,13.6215229488403,-0.346388273089815,15,-0.346388273089815
"v-76",5.94649592365189,14.2132521224732,-0.378432334350464,10,-0.378432334350464
"v-77",9.7045172742502,10.3731162857827,-0.0289353090737123,42,-0.0289353090737123
"v-78",9.86782219724153,9.912063320859,-0.00194275218457571,47,-0.00194275218457571
"v-79",12.9259319449761,6.92043958419706,0.271328183447442,76,0.271328183447442
"v-8",13.587631300546,6.40725980562413,0.326471419410247,84,0.326471419410247
"v-80",6.13778408642713,13.7417942384918,-0.3500318345326,14,-0.3500318345326
"v-81",9.87013696381366,9.95822657229751,-0.00385882400222775,45,-0.00385882400222775
"v-82",10.3209217644757,9.47093395967451,0.0373256776779599,54,0.0373256776779599
"v-83",10.3083027197862,9.69358055426487,0.0267029401485211,49,0.0267029401485211
"v-84",14.2853742428692,6.00407002665719,0.376445873488243,91,0.376445873488243
"v-85",13.2719525958826,6.88201580823019,0.285219155951461,79,0.285219155951461
"v-86",4.61963317975773,15.1218014846041,-0.514996040514934,1,-0.5
"v-87",14.980995555193,4.9974982260164,0.476788026536404,99,0.476788026536404
"v-88",6.75353700307136,13.0653454219285,-0.286589612369035,23,-0.286589612369035
"v-89",8.84909786226056,11.2602774550177,-0.104650093736058,38,-0.104650093736058
"v-9",7.01248243406596,12.9872187783109,-0.267644370194311,24,-0.267644370194311
"v-90",5.91180080450025,14.1335223727168,-0.378530618435016,9,-0.378530618435016
"v-91",5.83429295007149,14.0537612903369,-0.381804340550266,8,-0.381804340550266
"v-92",4.71716279383425,15.0472603044744,-0.503776569526962,2,-0.5
"v-93",6.06869199768004,14.0038849833755,-0.363153438717371,11,-0.363153438717371
"v-94",6.11301585858562,13.7771186727073,-0.352902876876542,13,-0.352902876876542
"v-95",10.5782935477462,9.43680361506191,0.0495906972843948,58,0.0495906972843948
"v-96",7.37307210815321,12.6404748515311,-0.234114907645598,28,-0.234114907645598
"v-97",6.39373582632342,13.6245820821138,-0.328568501374784,17,-0.328568501374784
"v-98",6.42581769407922,13.7070527725246,-0.329015684738167,16,-0.329015684738167
"v-99",13.1440736667226,6.60931469235394,0.298573553835881,81,0.298573553835881
