"Id","Thresh1","Thresh2","ThreshRatio","ThreshRatioBounded"
"v-1",9.96699296170257,9.88491286543674,0.0082692880681033,0.0082692880681033
"v-2",9.97623237497907,9.92827322739257,0.00481893309524502,0.00481893309524502
"v-3",9.97508760844364,10.0615971033883,-0.00863516432425663,-0.00863516432425663
"v-4",10.0198490239285,9.97672994484751,0.00431265227708789,0.00431265227708789
"v-5",9.92126840418788,9.95241767377301,-0.00313472749547636,-0.00313472749547636
"v-6",9.75828679239783,9.9576072931514,-0.0202199596735804,-0.0202199596735804
"v-7",9.79009449701817,10.0447321042703,-0.0256772194532046,-0.0256772194532046
"v-8",10.0580847025702,9.92648268820372,0.0131705544716763,0.0131705544716763
"v-9",10.0899449369256,10.0606409387741,0.00290850290806109,0.00290850290806109
"v-10",9.96644549008867,10.0816803842095,-0.011495953679815,-0.011495953679815
"v-11",9.95111761908382,10.1138623778211,-0.0162221270795299,-0.0162221270795299
"v-12",9.88586239507485,10.0581508473214,-0.0172776397656928,-0.0172776397656928
"v-13",9.99313978906903,9.9186036895671,0.00748668219132315,0.00748668219132315
"v-14",9.94610620622445,10.1449117957096,-0.0197911403584555,-0.0197911403584555
"v-15",9.86507387882405,9.8711855328983,-0.000619332583961824,-0.000619332583961824
"v-16",9.99958408048598,10.040281933471,-0.00406169471465557,-0.00406169471465557
"v-17",10.0281201755761,10.1518451757772,-0.0122623154561839,-0.0122623154561839
"v-18",9.93040531044123,9.88008373451494,0.00508030710835585,0.00508030710835585
"v-19",9.94341032240618,9.97644682825972,-0.00331694508579739,-0.00331694508579739
"v-20",9.94288611815308,10.1268016012022,-0.0183282006222137,-0.0183282006222137
"v-21",9.83711282241436,10.0449438342924,-0.020907151187775,-0.020907151187775
"v-22",9.95095724197725,9.99759050166171,-0.00467536236022228,-0.00467536236022228
"v-23",10.1290990940441,10.0712524376268,0.00572730771051964,0.00572730771051964
"v-24",9.82252758691418,9.9882251988954,-0.0167284381196327,-0.0167284381196327
"v-25",10.1264966226187,9.83522726263931,0.0291848575363666,0.0291848575363666
"v-26",10.0802697925304,10.1236113709288,-0.00429042761961976,-0.00429042761961976
"v-27",10.0869237243373,10.0280470436166,0.00585403275404249,0.00585403275404249
"v-28",9.98598145568007,10.0401580229789,-0.00541059843539043,-0.00541059843539043
"v-29",9.78108043534739,10.2045823676023,-0.0423869192257683,-0.0423869192257683
"v-30",10.0119497516578,10.0050135858128,0.000693028808189594,0.000693028808189594
"v-31",9.94736346961729,9.95179540827324,-0.000445439805412866,-0.000445439805412866
"v-32",9.93528696274947,10.3310186288913,-0.0390581274610571,-0.0390581274610571
"v-33",9.86252777302166,9.92349267895708,-0.00616244171133612,-0.00616244171133612
"v-34",9.90692161188672,9.99165822560684,-0.00851690187214614,-0.00851690187214614
"v-35",10.0828987880769,10.1943305917388,-0.0109909419405025,-0.0109909419405025
"v-36",9.98418238749282,9.85318850872983,0.0132069701658658,0.0132069701658658
"v-37",10.0769402136639,10.0370735003649,0.00396407858430843,0.00396407858430843
"v-38",10.1583012895266,9.87006987821348,0.0287842989789552,0.0287842989789552
"v-39",10.0084903414122,10.1789201868233,-0.0168851665653954,-0.0168851665653954
"v-40",9.91259228296163,9.91380509539898,-0.000122343198890506,-0.000122343198890506
"v-41",10.0732837359484,10.1816780742456,-0.0107030933043743,-0.0107030933043743
"v-42",9.86790265870476,9.89965574693547,-0.0032126492194657,-0.0032126492194657
"v-43",9.93533797688681,10.0755815983528,-0.0140169388141568,-0.0140169388141568
"v-44",9.9569735757856,9.91717664776554,0.00400489890284864,0.00400489890284864
"v-45",9.90470813003459,10.018652813346,-0.0114384240677157,-0.0114384240677157
"v-46",9.96361736653173,9.98958017540516,-0.00260237222342693,-0.00260237222342693
"v-47",9.93849928438102,9.99065044841554,-0.00523366864861931,-0.00523366864861931
"v-48",10.0659792347895,10.1004625140831,-0.00341987082612826,-0.00341987082612826
"v-49",9.88739773809373,10.1715651622688,-0.0283351076511579,-0.0283351076511579
"v-50",10.046290198651,10.0585332332486,-0.00121792028191028,-0.00121792028191028
