"Id","Thresh1","Thresh2","ThreshRatio","ThreshRatioRank","ThreshRatioBounded"
"v-1",6.04288087174204,13.9609940933862,-0.363672310621524,4,-0.363672310621524
"v-10",10.9940929291364,7.58543883992402,0.161178692519832,48,0.161178692519832
"v-11",8.33260482947063,11.2243692085052,-0.129381157641984,25,-0.129381157641984
"v-12",7.95733893273754,11.1575492943726,-0.146800957565791,23,-0.146800957565791
"v-13",13.4362069578163,7.12165213098921,0.275695928640568,66,0.275695928640568
"v-14",6.79869621117008,12.4307481059748,-0.262071630237305,12,-0.262071630237305
"v-15",10.6994254155185,10.3779611220634,0.0132484162621332,35,0.0132484162621332
"v-16",12.0886793178402,7.5677252167634,0.20341350250066,53,0.20341350250066
"v-17",7.7799040373479,12.3993036401426,-0.202423055206996,18,-0.202423055206996
"v-18",11.7821973427891,7.62070704149694,0.189231025949128,51,0.189231025949128
"v-19",11.9089701103046,7.26230051596277,0.214799989076379,55,0.214799989076379
"v-2",11.5646042550249,8.34132191151471,0.141895893666725,47,0.141895893666725
"v-20",10.4075586167304,9.69467174985031,0.0308157566041938,37,0.0308157566041938
"v-21",5.53557613946606,14.0122412698156,-0.403344777932743,2,-0.403344777932743
"v-22",11.1510939458688,8.57343906308775,0.114162409288441,43,0.114162409288441
"v-23",15.4916872108859,5.26317417264733,0.468850977429624,70,0.468850977429624
"v-24",6.04901853101865,13.6194424386409,-0.352474413558378,5,-0.352474413558378
"v-25",10.6503048220319,9.721686635034,0.0396204197918604,40,0.0396204197918604
"v-26",11.0129561158222,8.44844788808037,0.115126979066475,44,0.115126979066475
"v-27",8.08846937912986,10.9068747137184,-0.129833978757828,24,-0.129833978757828
"v-28",5.89459888588723,13.6459267050599,-0.364548776589566,3,-0.364548776589566
"v-29",6.92529606768843,13.2679271716006,-0.282364734057162,10,-0.282364734057162
"v-3",11.8744205316666,7.52191814821759,0.198283822147743,52,0.198283822147743
"v-30",10.6581369661449,9.8229122576714,0.0354410322294747,38,0.0354410322294747
"v-31",8.96137896755599,10.7578407224497,-0.0793502663701977,28,-0.0793502663701977
"v-32",7.33543554801409,12.7273279672404,-0.239311329910693,14,-0.239311329910693
"v-33",10.0157042511966,9.15636222790188,0.038958526850613,39,0.038958526850613
"v-34",6.60049013584414,13.8464550607755,-0.321762414146578,6,-0.321762414146578
"v-35",7.49724247625335,12.1179686156041,-0.208528266329502,17,-0.208528266329502
"v-36",7.39336981081963,13.5255248595993,-0.262311697129097,11,-0.262311697129097
"v-37",6.59546252115619,12.7785525644527,-0.287236406974263,9,-0.287236406974263
"v-38",12.3264053301327,7.30233735786525,0.227374551687914,57,0.227374551687914
"v-39",13.7666082888235,7.29797726801418,0.275624449022203,65,0.275624449022203
"v-4",6.85939427906624,12.3242471358944,-0.254474631669408,13,-0.254474631669408
"v-40",12.1091304329394,6.89750945750177,0.244420652569533,58,0.244420652569533
"v-41",8.1844667393702,10.2253410962506,-0.0966874159649506,27,-0.0966874159649506
"v-42",7.80201585561193,12.243925067685,-0.19571383449947,20,-0.19571383449947
"v-43",12.5486435548789,7.63836616391917,0.215596309796227,56,0.215596309796227
