"Thresh1","Thresh2","n","sim","chunk","Id","ThreshBias","ThreshBiasBounded"
50,50,35,1,1,"v-1",0,0
50,50,35,1,1,"v-2",0,0
50,50,35,1,1,"v-3",0,0
50,50,35,1,1,"v-4",0,0
50,50,35,1,1,"v-5",0,0
50,50,35,1,1,"v-6",0,0
50,50,35,1,1,"v-7",0,0
50,50,35,1,1,"v-8",0,0
50,50,35,1,1,"v-9",0,0
50,50,35,1,1,"v-10",0,0
50,50,35,1,1,"v-11",0,0
50,50,35,1,1,"v-12",0,0
50,50,35,1,1,"v-13",0,0
50,50,35,1,1,"v-14",0,0
50,50,35,1,1,"v-15",0,0
50,50,35,1,1,"v-16",0,0
50,50,35,1,1,"v-17",0,0
50,50,35,1,1,"v-18",0,0
50,50,35,1,1,"v-19",0,0
50,50,35,1,1,"v-20",0,0
50,50,35,1,1,"v-21",0,0
50,50,35,1,1,"v-22",0,0
50,50,35,1,1,"v-23",0,0
50,50,35,1,1,"v-24",0,0
50,50,35,1,1,"v-25",0,0
50,50,35,1,1,"v-26",0,0
50,50,35,1,1,"v-27",0,0
50,50,35,1,1,"v-28",0,0
50,50,35,1,1,"v-29",0,0
50,50,35,1,1,"v-30",0,0
50,50,35,1,1,"v-31",0,0
50,50,35,1,1,"v-32",0,0
50,50,35,1,1,"v-33",0,0
50,50,35,1,1,"v-34",0,0
50,50,35,1,1,"v-35",0,0
50,50,35,0,0,"Max",100,100
50,50,35,0,0,"Min",-100,-100
