"Id","Thresh1","Thresh2","ThreshRatio"
"v-1",10.0035589000012,10.1448932467458,-0.0140295307964703
"v-2",10.1637628835291,9.73863729237395,0.042727536649277
"v-3",9.97489098184612,10.0770909262872,-0.010193588830048
"v-4",9.89725539725127,10.1559552117347,-0.0258027676990421
"v-5",9.97039915903023,9.96637155444054,0.000404037815588453
"v-6",9.94647178547894,9.96496256656835,-0.0018573033040137
"v-7",10.0567555605731,10.1384628161505,-0.00809178686574429
"v-8",10.0477934992599,10.034920708375,0.00128197737764623
"v-9",9.7913923798153,9.99642553835502,-0.0207239118007591
"v-10",10.0211249854039,9.88903285993688,0.0132690121869094
"v-11",10.0351367100326,9.91438652689814,0.012105718652267
"v-12",10.0381308047203,10.045961506018,-0.00077979144622144
"v-13",10.0261115655884,10.1743769480734,-0.0146796494428166
"v-14",9.97176087454373,9.98951954773332,-0.00177931249891497
"v-15",9.97108005816689,10.0414636807092,-0.00703397965368328
"v-16",10.0753261271521,10.1484672053069,-0.00723320257901089
"v-17",9.76329738704796,10.1643225721592,-0.0402536112866637
"v-18",9.9246443506346,9.87827788986303,0.00468279832014009
"v-19",9.9692317628665,9.92634271175059,0.00431142288523036
"v-20",9.99466948696618,10.0649629867031,-0.00700848209026079
"v-21",9.90454316511858,9.9851433780435,-0.008104768664929
"v-22",10.0343096836908,10.069758863946,-0.00352657144104467
"v-23",9.9836212127769,10.0676281275101,-0.00837926902533196
"v-24",9.94466979500558,9.9597472315913,-0.00151498428206666
"v-25",9.99923897056095,10.2198845582964,-0.0218263018918804
"v-26",9.91968635547469,9.97765377730582,-0.00582666682520584
"v-27",10.0208655898821,10.1319154781567,-0.0110209118941965
"v-28",9.96196494416391,10.0039918889754,-0.00420986654763283
"v-29",10.0148166965737,10.2083617663375,-0.0191414994047893
"v-30",9.80443300733009,9.92896366860805,-0.0126214778409252
"v-31",9.98585354191256,10.0425554418376,-0.00566216232751855
"v-32",9.87899346791836,9.9836185651236,-0.0105349754289046
"v-33",9.90715827147011,9.95958952107999,-0.00527830441976377
"v-34",10.0436692779398,9.99343504234744,0.00501413178634893
"v-35",9.88737758832653,10.0463464484578,-0.0159500783726816
"v-36",9.91794070107919,9.96701827364106,-0.00493616026816221
"v-37",10.2221203957502,10.0035177286594,0.0216172343754782
"v-38",9.87874392900688,9.931491768559,-0.00532532424288326
"v-39",9.86279206508779,9.90080407740858,-0.00384667435201474
"v-40",9.92270226349556,10.031441345085,-0.0108990052523826
"v-41",9.89403988188437,10.0425905658172,-0.0149025617512393
"v-42",9.95238386789448,10.0863536280054,-0.0133712771258079
"v-43",9.89403574399653,10.0442983193074,-0.0150730166063203
"v-44",9.88475073856618,9.96481905041801,-0.00806755481111199
"v-45",10.0181880960268,9.98773271526291,0.00304463909234415
"v-46",10.0259770739465,10.0196452208579,0.000631744248800145
"v-47",9.86130333747198,10.0366358893638,-0.0176236431275807
"v-48",9.78529420573094,10.0141440409194,-0.0231178303487802
"v-49",10.1688130744543,10.1597449188462,0.000892159317210128
"v-50",9.90148950494447,9.87588077749728,0.00258970140050516
"v-51",10.1528855990351,10.0579852587329,0.009391088432316
"v-52",9.96329218504059,9.8688639862114,0.00952280847384178
"v-53",9.94079707341914,9.94344752370664,-0.000266587980272889
"v-54",10.0660111261605,9.95760521746173,0.0108279110022011
"v-55",10.1048387825819,10.0271798797642,0.00771500258530142
"v-56",10.002144772334,10.0812822079021,-0.00788091048798344
"v-57",10.0348814484018,10.092515319969,-0.00572692333257975
"v-58",9.74159224804509,10.1199614667775,-0.0381052767689168
"v-59",10.0190815621396,9.93020370283431,0.00891043926325704
"v-60",9.82926166684723,9.93365250389105,-0.0105644144415675
"v-61",9.96362817365911,10.0827689704838,-0.0118866446445502
"v-62",10.0042539355237,10.0426540827602,-0.00383103410934833
"v-63",9.98552884691211,10.0224548557909,-0.00369113163547169
"v-64",10.1496632215014,9.93093159486696,0.0217862349329603
"v-65",9.81667824677073,10.1113551367758,-0.0295762622299192
"v-66",9.89963366274658,10.0976841956224,-0.0198083573017424
"v-67",9.99222224333149,10.0951177698423,-0.0102449031497249
"v-68",9.87925775025076,9.92205959957307,-0.00432313822644304
"v-69",9.99584194494062,9.92764315596132,0.00684609695556404
"v-70",9.87487714181764,10.0962717303803,-0.0221723507191106
