"Source","Target","Weight"
"v-1","v-2",0.1032
"v-1","v-3",0.1015
"v-1","v-4",0.1
"v-1","v-5",0.1002
"v-1","v-8",0.1056
"v-1","v-10",0.1016
"v-1","v-11",0.1004
"v-1","v-12",0.1013
"v-1","v-13",0.1057
"v-1","v-16",0.101
"v-1","v-17",0.1029
"v-1","v-19",0.1059
"v-1","v-20",0.1006
"v-1","v-21",0.1024
"v-1","v-22",0.1009
"v-1","v-26",0.1018
"v-1","v-27",0.1045
"v-1","v-28",0.1006
"v-1","v-29",0.1022
"v-1","v-30",0.1
"v-1","v-31",0.1015
"v-1","v-35",0.1014
"v-1","v-40",0.1023
"v-1","v-41",0.1032
"v-1","v-43",0.1052
"v-1","v-45",0.1017
"v-1","v-46",0.1034
"v-1","v-48",0.1013
"v-1","v-51",0.1043
"v-1","v-52",0.1012
"v-1","v-54",0.1044
"v-1","v-55",0.1027
"v-1","v-57",0.102
"v-1","v-58",0.1013
"v-1","v-59",0.1012
"v-1","v-60",0.1014
"v-1","v-61",0.1007
"v-1","v-64",0.1011
"v-1","v-65",0.104
"v-1","v-66",0.1048
"v-1","v-67",0.1005
"v-2","v-1",0.1032
"v-2","v-4",0.1055
"v-2","v-5",0.1032
"v-2","v-6",0.1009
"v-2","v-7",0.102
"v-2","v-13",0.1097
"v-2","v-14",0.1103
"v-2","v-15",0.1043
"v-2","v-16",0.1092
"v-2","v-18",0.1096
"v-2","v-19",0.1059
"v-2","v-20",0.1054
"v-2","v-21",0.1071
"v-2","v-22",0.1028
"v-2","v-24",0.1011
"v-2","v-25",0.1049
"v-2","v-26",0.109
"v-2","v-27",0.1012
"v-2","v-28",0.1007
"v-2","v-29",0.1048
"v-2","v-30",0.1121
"v-2","v-32",0.104
"v-2","v-33",0.1054
"v-2","v-35",0.1048
"v-2","v-36",0.1009
"v-2","v-38",0.1008
"v-2","v-40",0.1036
"v-2","v-41",0.1007
"v-2","v-43",0.1086
"v-2","v-46",0.1087
"v-2","v-47",0.1072
"v-2","v-48",0.1035
"v-2","v-49",0.108
"v-2","v-51",0.1014
"v-2","v-52",0.1109
"v-2","v-56",0.1032
"v-2","v-57",0.1067
"v-2","v-59",0.1056
"v-2","v-62",0.1021
"v-2","v-65",0.1033
"v-2","v-67",0.1049
"v-2","v-68",0.1039
"v-2","v-69",0.1018
"v-3","v-1",0.1015
"v-3","v-4",0.1007
"v-3","v-5",0.1001
"v-3","v-7",0.1003
"v-3","v-8",0.1043
"v-3","v-9",0.102
"v-3","v-10",0.1012
"v-3","v-11",0.1089
"v-3","v-12",0.1076
"v-3","v-13",0.1036
"v-3","v-16",0.1026
"v-3","v-17",0.1082
"v-3","v-18",0.1006
"v-3","v-19",0.1041
"v-3","v-21",0.1034
"v-3","v-23",0.1038
"v-3","v-24",0.1015
"v-3","v-25",0.101
"v-3","v-26",0.1016
"v-3","v-27",0.1086
"v-3","v-28",0.1015
"v-3","v-29",0.1028
"v-3","v-30",0.1017
"v-3","v-32",0.1073
"v-3","v-35",0.1035
"v-3","v-36",0.1022
"v-3","v-37",0.1003
"v-3","v-38",0.1036
"v-3","v-39",0.1046
"v-3","v-41",0.108
"v-3","v-42",0.1033
"v-3","v-44",0.1041
"v-3","v-45",0.1052
"v-3","v-46",0.1028
"v-3","v-47",0.1001
"v-3","v-50",0.1012
"v-3","v-53",0.1107
"v-3","v-54",0.1057
"v-3","v-55",0.1016
"v-3","v-58",0.1076
"v-3","v-60",0.1048
"v-3","v-61",0.1
"v-3","v-62",0.1013
"v-3","v-63",0.1043
"v-3","v-65",0.1008
"v-3","v-66",0.1
"v-3","v-67",0.1049
"v-3","v-68",0.104
"v-3","v-70",0.103
"v-4","v-1",0.1
"v-4","v-2",0.1055
"v-4","v-3",0.1007
"v-4","v-5",0.1026
"v-4","v-6",0.1001
"v-4","v-7",0.1003
"v-4","v-8",0.1022
"v-4","v-9",0.1044
"v-4","v-10",0.105
"v-4","v-11",0.1016
"v-4","v-12",0.1015
"v-4","v-13",0.1052
"v-4","v-17",0.1051
"v-4","v-18",0.1026
"v-4","v-19",0.1033
"v-4","v-20",0.1009
"v-4","v-21",0.1033
