"","Id","Thresh1","Thresh2","ThreshRatio"
"1","v-1",10.4829886468564,9.31020574557762,0.118642624002281
"2","v-2",16.4300184779199,3.59422690041821,1.51978113720934
"3","v-3",5.32258972379888,14.9034065314364,-1.0296298379939
"4","v-4",9.67889078214135,10.0809900265099,-0.0407041686349705
"5","v-5",7.76452864424974,12.1661817984472,-0.449094366793512
"6","v-6",7.55208837190065,12.6140535084349,-0.512987419657902
"7","v-7",9.60367271857701,10.4957083872917,-0.088820848430342
"8","v-8",4.67677290192296,15.4179408765712,-1.19292350211931
"9","v-9",9.8712548529772,10.0972865365309,-0.022639744545347
"10","v-10",12.1151296626755,7.880645795237,0.430045202645013
"11","v-11",2.32259943896462,17.7686990501612,-2.03475142275393
"12","v-12",5.23992106766993,14.7474397278759,-1.03476305515061
"13","v-13",17.0412900229361,2.69794468547235,1.84314896858042
"14","v-14",15.9324848909916,4.08887679808889,1.36008978904698
"15","v-15",12.5823507486081,7.21431812049012,0.556227418609673
"16","v-16",16.4072808608113,3.34389833741957,1.59058789796788
"17","v-17",6.07167069246912,13.9651959453915,-0.832934425636496
"18","v-18",17.7056738002389,2.17531285335128,2.09671264708139
"19","v-19",5.8807532621589,14.1277536317,-0.876456345894702
"20","v-20",17.9735085297991,2.24656489895534,2.07949658743701
"21","v-21",15.387948591371,4.47790463985228,1.23442942136281
"22","v-22",9.4094225247445,10.5635254018135,-0.11569548397128
"23","v-23",6.18833479876073,13.7845134683447,-0.800879713806737
"24","v-24",9.09269894524537,10.8104220824512,-0.173038898656411
"25","v-25",17.2189834750508,2.74780297210486,1.83521079247302
"26","v-26",18.9493025313925,1.02398150234653,2.91806866278038
"27","v-27",4.54853964800864,15.546853755451,-1.22905206235075
"28","v-28",10.0798120824501,9.97219145213036,0.010734255408204
"29","v-29",9.78881547037789,10.0489241527588,-0.0262251239087625
"30","v-30",15.6673690181214,4.24906361694116,1.30488150974549
"31","v-31",10.4603035108345,9.53116854903925,0.0930201464513838
"32","v-32",3.54666736601435,16.4534173315916,-1.53452480372872
"33","v-33",11.1316906135943,8.73557340187685,0.242392465143384
"34","v-34",7.57571773207337,12.2002594462021,-0.476509120579612
"35","v-35",15.2749710711712,4.74291551060942,1.16956357794299
"36","v-36",13.3299095958052,6.64360833635548,0.696355112120676
"37","v-37",12.4049663547048,7.30057562964043,0.530143706482485
"38","v-38",2.18690096722217,18.0069816689762,-2.10827409500047
"39","v-39",5.99494172086376,13.9404791535421,-0.843880710163875
"40","v-40",15.7732041370372,4.13916169570223,1.33781928123087
"41","v-41",4.78192330412435,15.3860420679837,-1.16861790874997
"42","v-42",4.73507865590135,15.1747720527731,-1.16463597750382
"43","v-43",14.648730672941,5.21152018619199,1.03348209264048
"44","v-44",5.81704405129194,14.179389147032,-0.890997203933517
"45","v-45",7.97825038304811,11.8549249531713,-0.396024251924396
"46","v-46",16.3901625644685,3.63573130307041,1.505871036683
"47","v-47",15.31403900077,4.74089134645688,1.17254482362334
"48","v-48",15.256703403554,5.08571151544165,1.09858402983212
"49","v-49",15.8572017806066,4.04237406182749,1.36679160969719
"50","v-50",4.05577474118278,15.8536084336961,-1.36325540828139
"51","v-51",8.78334211377806,11.2148941234304,-0.244385741316268
"52","v-52",19.703065340097,0.29783857472472,4.19197785946092
"53","v-53",2.85021299756767,17.1447232045324,-1.79429671392372
"54","v-54",2.96302573996958,17.1254162313776,-1.75435273364998
"55","v-55",4.29408946865904,16.0095137129946,-1.31594361761567
"56","v-56",15.8316516897383,4.32673243886384,1.29719858358405
"57","v-57",14.5868094434612,5.49775898997693,0.975777104731494
"58","v-58",4.6842459301766,15.1979828018398,-1.17695775997542
"59","v-59",16.0859439501043,3.77674651577906,1.44908291518941
"60","v-60",0.872152771499005,19.1464496614447,-3.08890797591457
"61","v-61",2.82614614892499,17.1160435817445,-1.80110224605752
"62","v-62",9.64944321934187,10.3529591844268,-0.0703721741764836
"63","v-63",2.73756317665002,17.2538935107189,-1.8409696556702
"64","v-64",8.7776197569958,11.1336476076061,-0.237766566543035
"65","v-65",5.58356111544094,14.6760327956435,-0.966388975568901
"66","v-66",9.02451967612253,10.8642369569086,-0.185531100461042
"67","v-67",2.68276937650439,17.1943745525021,-1.85773265899559
"68","v-68",14.9588749552702,4.97753808617681,1.10036935759887
"69","v-69",8.14181970495037,11.8893998761552,-0.378633530432057
"70","v-70",3.50271400967551,16.571148103658,-1.55412501778889
