"Thresh1","Thresh2","n","sim","chunk","Id","ThreshBias","ThreshBiasBounded"
39.8999999999997,60.1000000000003,20,1,1,"v-1",-20.2000000000005,-20.2000000000005
44.4000000000002,55.5999999999998,20,1,1,"v-2",-11.1999999999996,-11.1999999999996
46.2,53.8,20,1,1,"v-3",-7.59999999999992,-7.59999999999992
48.3000000000006,51.6999999999993,20,1,1,"v-4",-3.39999999999877,-3.39999999999877
45.3000000000001,54.6999999999998,20,1,1,"v-5",-9.39999999999968,-9.39999999999968
42.3000000000001,57.7,20,1,1,"v-6",-15.3999999999999,-15.3999999999999
44.8999999999999,55.1000000000001,20,1,1,"v-7",-10.2000000000003,-10.2000000000003
45.1000000000002,54.8999999999997,20,1,1,"v-8",-9.79999999999941,-9.79999999999941
47.3000000000002,52.6999999999995,20,1,1,"v-9",-5.39999999999938,-5.39999999999938
40.2,59.8000000000002,20,1,1,"v-10",-19.6000000000002,-19.6000000000002
41.3999999999998,58.6000000000001,20,1,1,"v-11",-17.2000000000002,-17.2000000000002
44.8000000000001,55.1999999999999,20,1,1,"v-12",-10.3999999999998,-10.3999999999998
52.0000000000003,47.9999999999997,20,1,1,"v-13",4.00000000000057,4.00000000000057
45.9999999999998,54.0000000000001,20,1,1,"v-14",-8.00000000000028,-8.00000000000028
47.2999999999998,52.7000000000002,20,1,1,"v-15",-5.40000000000047,-5.40000000000047
45.6000000000001,54.3999999999999,20,1,1,"v-16",-8.79999999999974,-8.79999999999974
42.1000000000002,57.8999999999996,20,1,1,"v-17",-15.7999999999994,-15.7999999999994
47.1000000000002,52.8999999999998,20,1,1,"v-18",-5.79999999999961,-5.79999999999961
44.4,55.6,20,1,1,"v-19",-11.2,-11.2
47.7999999999996,52.2000000000004,20,1,1,"v-20",-4.40000000000073,-4.40000000000073
100,0,20,0,0,"Max",100,100
0,100,20,0,0,"Min",-100,-100
