"Id","total_activity","activity_level"
"v-1",0.83432,"Above"
"v-2",0.81128,"Below"
"v-3",0.83138,"Above"
"v-4",0.73598,"Below"
"v-5",0.7452,"Below"
"v-6",0.83298,"Above"
"v-7",0.72862,"Below"
"v-8",0.8219,"Above"
"v-9",0.83334,"Above"
"v-10",0.8096,"Below"
"v-11",0.8275,"Above"
"v-12",0.83294,"Above"
"v-13",0.8307,"Above"
"v-14",0.82606,"Above"
"v-15",0.74972,"Below"
"v-16",0.83396,"Above"
"v-17",0.81904,"Below"
"v-18",0.82942,"Above"
"v-19",0.80182,"Below"
"v-20",0.78582,"Below"
"v-21",0.7407,"Below"
"v-22",0.8203,"Above"
"v-23",0.81374,"Below"
"v-24",0.78816,"Below"
"v-25",0.83072,"Above"
"v-26",0.83008,"Above"
"v-27",0.6778,"Below"
"v-28",0.79238,"Below"
"v-29",0.73228,"Below"
"v-30",0.82362,"Above"
