"Id","total_activity","activity_level"
"v-1",0.8263,"Below"
"v-2",0.7736,"Below"
"v-3",0.8331,"Above"
"v-4",0.83172,"Above"
"v-5",0.82702,"Below"
"v-6",0.69948,"Below"
"v-7",0.82954,"Below"
"v-8",0.83274,"Above"
"v-9",0.83396,"Above"
"v-10",0.82852,"Below"
"v-11",0.7313,"Below"
"v-12",0.83162,"Above"
"v-13",0.83302,"Above"
"v-14",0.8299,"Above"
"v-15",0.82382,"Below"
"v-16",0.82322,"Below"
"v-17",0.7954,"Below"
"v-18",0.8316,"Above"
"v-19",0.83208,"Above"
"v-20",0.82912,"Below"
"v-21",0.82352,"Below"
"v-22",0.83368,"Above"
"v-23",0.83206,"Above"
"v-24",0.81672,"Below"
"v-25",0.83306,"Above"
"v-26",0.69358,"Below"
"v-27",0.82996,"Above"
"v-28",0.82814,"Below"
"v-29",0.82684,"Below"
"v-30",0.8252,"Below"
"v-31",0.83352,"Above"
"v-32",0.83186,"Above"
"v-33",0.79248,"Below"
"v-34",0.8297,"Above"
"v-35",0.83146,"Above"
"v-36",0.8326,"Above"
"v-37",0.82946,"Below"
"v-38",0.83012,"Above"
"v-39",0.83146,"Above"
"v-40",0.82314,"Below"
"v-41",0.79106,"Below"
"v-42",0.8305,"Above"
"v-43",0.7023,"Below"
"v-44",0.75006,"Below"
"v-45",0.08752,"Below"
"v-46",0.82406,"Below"
"v-47",0.8297,"Above"
"v-48",0.83138,"Above"
"v-49",0.83132,"Above"
"v-50",0.83164,"Above"
"v-51",0.83102,"Above"
"v-52",0.7712,"Below"
"v-53",0.81302,"Below"
"v-54",0.83128,"Above"
"v-55",0.12972,"Below"
"v-56",0.83334,"Above"
"v-57",0.82626,"Below"
"v-58",0.83032,"Above"
"v-59",0.81794,"Below"
"v-60",0.82676,"Below"
"v-61",0.82828,"Below"
"v-62",0.83336,"Above"
"v-63",0.82944,"Below"
"v-64",0.83036,"Above"
"v-65",0.83338,"Above"
"v-66",0.82968,"Above"
"v-67",0.82876,"Below"
"v-68",0.8329,"Above"
"v-69",0.83242,"Above"
"v-70",0.78776,"Below"
"v-71",0.83322,"Above"
"v-72",0.83138,"Above"
"v-73",0.8045,"Below"
"v-74",0.82654,"Below"
"v-75",0.83042,"Above"
"v-76",0.81782,"Below"
"v-77",0.81654,"Below"
"v-78",0.79064,"Below"
"v-79",0.8306,"Above"
"v-80",0.83042,"Above"
