"Thresh1","Thresh2","n","sim","chunk","Id","ThreshRatio","ThreshRatioBounded"
98.5,1.5,70,1,1,"v-1",4.18459144006988,4.18459144006988
0,100,70,1,1,"v-2",-Inf,-5
1,99,70,1,1,"v-3",-4.59511985013459,-4.59511985013459
5.5,94.5000000000002,70,1,1,"v-4",-2.84385174226127,-2.84385174226127
6.7,93.3000000000002,70,1,1,"v-5",-2.63371258145638,-2.63371258145638
98.7,1.3,70,1,1,"v-6",4.32972068197194,4.32972068197194
98.5,1.5,70,1,1,"v-7",4.18459144006988,4.18459144006988
98.5,1.5,70,1,1,"v-8",4.18459144006988,4.18459144006988
0.8,99.2,70,1,1,"v-9",-4.82028156560504,-4.82028156560504
0.7,99.3000000000001,70,1,1,"v-10",-4.95482051498986,-4.95482051498986
99.1,0.899999999999997,70,1,1,"v-11",4.70148995699377,4.70148995699377
100,0,70,1,1,"v-12",Inf,5
0.2,99.8,70,1,1,"v-13",-6.21260609575152,-5
98.7,1.3,70,1,1,"v-14",4.32972068197194,4.32972068197194
10.3,89.7000000000002,70,1,1,"v-15",-2.16432687382916,-2.16432687382916
3.7,96.3,70,1,1,"v-16",-3.2591354991539,-3.2591354991539
0.9,99.1,70,1,1,"v-17",-4.70148995699377,-4.70148995699377
4.19999999999999,95.8000000000004,70,1,1,"v-18",-3.1271781596875,-3.1271781596875
3.10000000000001,96.9000000000001,70,1,1,"v-19",-3.44227740740562,-3.44227740740562
1.8,98.2,70,1,1,"v-20",-3.9992195504583,-3.9992195504583
99.4,0.6,70,1,1,"v-21",5.10997773742852,5
99.3,0.7,70,1,1,"v-22",4.95482051498986,4.95482051498986
0.6,99.4,70,1,1,"v-23",-5.10997773742852,-5
3.30000000000001,96.6999999999997,70,1,1,"v-24",-3.37769093398681,-3.37769093398681
43.6999999999998,56.3000000000003,70,1,1,"v-25",-0.25334643304411,-0.25334643304411
97.9999999999999,2.00000000000001,70,1,1,"v-26",3.89182029811062,3.89182029811062
94.9,5.1,70,1,1,"v-27",2.9235831658856,2.9235831658856
98.9,1.1,70,1,1,"v-28",4.49879905882434,4.49879905882434
1.2,98.7999999999999,70,1,1,"v-29",-4.41077604795986,-4.41077604795986
99.3000000000001,0.7,70,1,1,"v-30",4.95482051498986,4.95482051498986
95.5,4.5,70,1,1,"v-31",3.05504885071041,3.05504885071041
1.5,98.5,70,1,1,"v-32",-4.18459144006988,-4.18459144006988
1.3,98.7,70,1,1,"v-33",-4.32972068197194,-4.32972068197194
98.1,1.9,70,1,1,"v-34",3.94413348039892,3.94413348039892
1.9,98.1,70,1,1,"v-35",-3.94413348039892,-3.94413348039892
97.7,2.3,70,1,1,"v-36",3.74899243611363,3.74899243611363
0.1,99.9,70,1,1,"v-37",-6.90675477864855,-5
4,95.9999999999999,70,1,1,"v-38",-3.17805383034794,-3.17805383034794
7.89999999999998,92.1000000000004,70,1,1,"v-39",-2.45601218378829,-2.45601218378829
0,100,70,1,1,"v-40",-Inf,-5
94.3000000000002,5.69999999999999,70,1,1,"v-41",2.80601501479891,2.80601501479891
0.7,99.3,70,1,1,"v-42",-4.95482051498986,-4.95482051498986
99.9,0.1,70,1,1,"v-43",6.90675477864855,5
4.30000000000001,95.6999999999999,70,1,1,"v-44",-3.10260327575939,-3.10260327575939
99.7,0.3,70,1,1,"v-45",5.80613848129373,5
99.2000000000002,0.800000000000001,70,1,1,"v-46",4.82028156560504,4.82028156560504
98.6000000000001,1.4,70,1,1,"v-47",4.25459902498738,4.25459902498738
87.6000000000004,12.4,70,1,1,"v-48",1.95508452533136,1.95508452533136
100,0,70,1,1,"v-49",Inf,5
3.20000000000001,96.7999999999999,70,1,1,"v-50",-3.40949618447685,-3.40949618447685
1,99,70,1,1,"v-51",-4.59511985013459,-4.59511985013459
0.5,99.5,70,1,1,"v-52",-5.29330482472449,-5
98.7000000000001,1.3,70,1,1,"v-53",4.32972068197195,4.32972068197195
96.8,3.2,70,1,1,"v-54",3.40949618447685,3.40949618447685
0,100,70,1,1,"v-55",-Inf,-5
97.3,2.7,70,1,1,"v-56",3.58454721618168,3.58454721618168
99.0999999999999,0.899999999999999,70,1,1,"v-57",4.70148995699377,4.70148995699377
97.7000000000001,2.3,70,1,1,"v-58",3.74899243611364,3.74899243611364
95.6000000000002,4.4,70,1,1,"v-59",3.07856827913314,3.07856827913314
99.6,0.4,70,1,1,"v-60",5.51745289646471,5
0.4,99.6000000000001,70,1,1,"v-61",-5.51745289646471,-5
98.2,1.8,70,1,1,"v-62",3.9992195504583,3.9992195504583
0.6,99.4,70,1,1,"v-63",-5.10997773742852,-5
90.9000000000001,9.09999999999999,70,1,1,"v-64",2.30148558766063,2.30148558766063
97,3,70,1,1,"v-65",3.47609868983527,3.47609868983527
99.0999999999997,0.899999999999999,70,1,1,"v-66",4.70148995699377,4.70148995699377
0.4,99.6,70,1,1,"v-67",-5.51745289646471,-5
0.1,99.9,70,1,1,"v-68",-6.90675477864855,-5
2.10000000000001,97.9,70,1,1,"v-69",-3.84200920480709,-3.84200920480709
98.0000000000001,2,70,1,1,"v-70",3.89182029811063,3.89182029811063
